OrderDate,Quantity,Combining_Duplicates,
2006-07-18,1,18.99,
2007-05-21,1,15.63,
2009-06-22,2,13.18,
2009-07-22,1,43.45,
2009-11-01,1,10.49,
2009-11-29,1,22.5,
2010-04-18,2,25,
2010-05-27,1,12.45,
2010-09-07,1,21.11,
2010-10-11,1,17.35,
2010-11-07,1,35.86,
2010-11-21,2,17.98,
2010-12-27,1,31.9,
2011-03-12,1,350.89,
2011-03-19,1,37.32,
2011-06-29,1,57.36,
2011-09-14,1,31.75,
2011-10-30,1,16.75,
2011-11-17,1,16.89,
2011-11-26,1,159.98,
2012-01-07,1,23.23,
2012-01-20,1,34.99,
2012-02-19,1,29.82,
2012-04-27,1,489.59,
2012-05-31,1,35.15,
2012-06-23,1,20.21,
2012-06-24,1,206,
2012-07-04,1,18.98,
2012-07-05,1,74.74,
2012-10-23,1,45.76,
2012-10-28,1,50,
2012-10-29,1,49.94,
2012-11-02,1,32.34,
2012-11-05,1,33.75,
2012-11-09,1,169.3,
2012-11-10,1,9.99,
2012-11-16,1,73.93,
2012-11-22,1,62.96,
2012-11-23,1,84.8,
2012-11-26,1,49.64,
2012-12-23,1,25.71,
2012-12-24,1,60,
2013-01-01,1,6.99,
2013-01-08,1,4.5,
2013-02-19,1,33.59,
2013-03-02,12,105.48,
2013-03-03,1,31.19,
2013-03-09,1,126.5,
2013-04-03,1,62.33,
2013-05-19,1,6.45,
2013-06-04,1,26.76,
2013-06-10,1,98.75,
2013-06-13,1,25.43,
2013-06-14,1,112.11,
2013-07-13,1,287.68,
2013-07-27,2,153.14,
2013-07-30,1,25,
2013-07-31,1,229.49,
2013-08-02,1,101.04,
2013-08-06,1,40.32,
2013-08-13,1,39.99,
2013-09-28,1,28.41,
2013-10-30,1,35.35,
2013-11-01,1,36.75,
2013-11-06,1,65.38,
2013-11-21,1,158.56,
2013-11-27,1,23.08,
2013-11-28,1,48.5,
2013-11-29,1,165.25,
2013-12-02,1,49.57,
2013-12-03,1,42.2,
2013-12-08,1,78.58,
2014-02-04,1,74.9,
2014-02-14,1,59.99,
2014-02-15,1,37.48,
2014-03-16,1,70.78,
2014-04-06,1,86.06,
2014-04-12,1,36.6,
2014-04-21,1,49.88,
2014-05-30,1,21.81,
2014-06-23,1,62.2,
2014-06-28,1,69.79,
2014-07-21,1,65.51,
2014-08-04,1,56.97,
2014-08-11,1,37.67,
2014-09-01,1,168.74,
2014-09-03,1,15.99,
2014-09-13,1,40.19,
2014-09-30,1,1.99,
2014-10-12,1,240.54,
2014-10-13,1,42.95,
2014-10-14,1,100.04,
2014-11-09,1,37.56,
2014-11-25,1,24.99,
2014-11-28,1,40.84,
2014-11-29,1,111.97,
2014-12-05,1,41.99,
2014-12-08,1,121.98,
2014-12-09,1,38.55,
2014-12-20,1,6,
2014-12-26,2,28.52,
2015-02-14,1,78.71,
2015-02-26,1,155.16,
2015-03-10,1,73.84,
2015-03-11,1,154.49,
2015-04-05,2,31.66,
2015-04-09,1,44.98,
2015-04-16,1,1.8,
2015-04-19,1,105.49,
2015-06-02,1,16.36,
2015-06-16,1,40.94,
2015-06-18,1,40,
2015-07-21,1,45.48,
2015-08-09,1,7.95,
2015-08-17,1,87.82,
2015-09-19,1,41.34,
2015-09-22,2,5.9,
2015-09-26,1,14.02,
2015-09-29,1,10.39,
2015-10-02,1,42.77,
2015-10-04,1,108.35,
2015-10-05,1,42.23,
2015-10-10,1,42.66,
2015-10-11,2,14.28,
2015-11-25,1,141.08,
2015-11-26,1,41.12,
2015-11-27,1,60.86,
2015-11-28,1,123.61,
2015-11-29,1,61.72,
2015-12-02,1,112.89,
2015-12-05,1,60.19,
2015-12-09,1,195.94,
2015-12-29,1,37.53,
2016-01-02,1,125.95,
2016-01-12,1,47.39,
2016-01-16,1,45.69,
2016-01-21,1,40.52,
2016-01-22,1,73.74,
2016-01-23,1,41.31,
2016-01-26,1,221.24,
2016-02-07,2,77.85,
2016-02-13,1,103.44,
2016-02-23,1,127.49,
2016-02-27,1,67.06,
2016-04-08,1,92.65,
2016-04-29,1,53.85,
2016-07-21,1,84.32,
2016-08-03,1,60.69,
2016-09-05,1,66.62,
2016-09-24,1,61.69,
2016-11-02,1,84.68,
2016-11-05,1,26.85,
2016-11-10,1,63.73,
2016-11-18,1,99.65,
2016-11-20,1,43.98,
2016-11-21,1,36.91,
2016-11-23,1,5.27,
2016-11-24,1,530.28,
2016-11-25,1,157.83,
2016-11-27,1,67.59,
2016-11-28,1,96.67,
2016-11-30,1,120.77,
2016-12-02,1,55.9,
2016-12-06,1,10.99,
2016-12-07,1,63.28,
2016-12-08,1,94.7,
2016-12-11,1,8.99,
2016-12-13,1,40.14,
2016-12-15,1,109.32,
2016-12-18,1,42.19,
2016-12-20,1,21.09,
2016-12-24,1,3.34,
2017-01-11,2,27.12,
2017-01-31,1,209.95,
2017-02-06,2,214.33,
2017-02-07,1,102.84,
2017-02-08,1,11.89,
2017-02-09,1,139.63,
2017-02-16,1,75.7,
2017-02-18,1,49.7,
2017-02-21,1,168.95,
2017-02-24,1,413.54,
2017-02-28,1,18.19,
2017-03-01,1,27.2,
2017-03-02,1,34.94,
2017-03-05,1,36.6,
2017-03-06,1,54.62,
2017-03-07,1,21.07,
2017-03-13,1,70.19,
2017-03-18,1,58.13,
2017-03-21,1,68.08,
2017-03-22,1,33.43,
2017-04-01,1,10.38,
2017-04-13,1,12.99,
2017-04-16,1,113.09,
2017-04-18,1,13.29,
2017-05-01,1,30.62,
2017-05-05,1,27.97,
2017-05-12,1,9.77,
